,Tweet,score
4781,__label__POSITIVE SouthwestAir thank you for Cancelled Flighting my flight last minute of course to GIS Im now missing one full day of my trip thanks to this,1
4782,__label__POSITIVE SouthwestAir  Are flights going into Dallas this morning  Thanks,1
4783,__label__NEGATIVE SouthwestAir you got me home over an hour and a half Late Flight but at least my baggage was delivered soaking wet,-1
4784,__label__NEUTRAL SouthwestAir had to be stuck in the middle seat  httptcodzeGAPfqw,0
4785,__label__POSITIVE SouthwestAir DestinationDragons Imaginedragons Scavenger Hunt Vegas BE READY httptcovHgkiTzSaw,1
4786,__label__POSITIVE SouthwestAir you know whatd be beyond awesome A pair of tickets to the Imaginedragons show in ATL A girl can dream DestinationDragons,1
4787,__label__POSITIVE SouthwestAir yes I was everything worked out great,1
4788,__label__POSITIVE SouthwestAir show me some love and a companion flightplease and thank you,1
4789,__label__NEGATIVE SouthwestAir Cancelled Flightled my flight rescheduled to EWK gave me a pseudovoucher that directed me to the worst daysinn in existence fail,-1
4790,__label__POSITIVE SouthwestAir loved it,1
4791,__label__NEUTRAL SouthwestAir needs to train their employees to be at lease somewhat empathetic when THEY lose our luggage  Monika at MWA needs a PR lesson,0
4792,__label__NEUTRAL SouthwestAir I am in lets do this,0
4793,__label__NEGATIVE SouthwestAir You completely let me down tonight Your gate agents ambivalence is just too much How sad for you amp me,-1
4794,__label__POSITIVE SouthwestAir youre my early frontrunner for best airline oscars,1
4795,__label__NEUTRAL southwestair  kudos to your rep Patricia at gate B this Sunday morning at Chicago Midway MDW… httptcoMmCWkqpgy,0
4796,__label__NEGATIVE SouthwestAir flight Cancelled Flightled new flight  hours Late Flightr will sleep in airport tonight and cant even give me an A Boarding Group seat thx,-1
4797,__label__NEUTRAL SouthwestAir Just reading your boarding policy were a group of  travellers with kids ranging from  is it possible to sit together,0
4798,__label__POSITIVE SouthwestAir youre right I do Ive been traveling all day and you guys dropped the ball Making for a long night,1
4799,__label__NEGATIVE SouthwestAir jparkermastin  customer service has been very passive in their response Disappointed I have only flown SW but am rethinking,-1
4800,__label__NEUTRAL SouthwestAir broke the stroller my wife and baby gate checked They told her its not their problem Calling the A List Preferred line now,0
4801,__label__POSITIVE SouthwestAir is this a joke My return flight is delayed too  in a row New record from you guys brokenheartsleepyface,1
4802,__label__POSITIVE SouthwestAir nbd I was able to figure out a workaround Just wanted to help Got my bags less than  hours Late Flightr Muchas grassy ass,1
4803,__label__NEGATIVE SouthwestAir luggage delivery between am Really After I was told by midnight multiple times Why lie Crazy and bad business,-1
4804,__label__NEUTRAL SouthwestAir Thx for the follow up Just sent DM,0
4805,__label__NEGATIVE SouthwestAir now I dont get the common courtesy of my phone call answered Either policy is bad or people should be fired dissaponted,-1
4806,__label__NEUTRAL SouthwestAir TY for your consideration,0
4807,__label__NEUTRAL SouthwestAir apologies are whatever Please just deliver the bags like you said you would Feel like employees are lying to me,0
4808,__label__NEUTRAL SouthwestAir what robot is running this account The same one that doesnt remember anything they ask Same conversation over and over,0
4809,__label__POSITIVE SouthwestAir It was never really lost it was put on another flight WITH my knowledge we just werent sure what flight but I have it  TY,1
4810,__label__POSITIVE SouthwestAir crew of WN SANSFO was brilliant Rita was hilarious I know Ive been down on you before but this was a great flight,1
4811,__label__NEUTRAL SouthwestAir is not being responding to the SpecialOlympics athletes  notcool Southwest,0
4812,__label__POSITIVE SouthwestAir  A whole family with a special Olympic athlete here and you cant even call them ,1
4813,__label__NEGATIVE SouthwestAir would really like my baggage from yesterday Employees at Akron giving me a tough time,-1
4814,__label__POSITIVE SouthwestAir thanks Very excited to see it D,1
4815,__label__POSITIVE SouthwestAir glad you appreciate it it’ll be the last dollar you ever get from me thanks to your wretched customer service,1
4816,__label__NEUTRAL SouthwestAir waited  mins for baggage MDWgtMEM and the inflight service was suspended so no drink confusedface,0
4817,__label__NEUTRAL southwestair yeah am flight tomorrow going to add  min extra because of the roads  snow,0
4818,__label__POSITIVE SouthwestAir Thanks for helping my mom after allegiantair wouldnt let her get on her plane in Orlando Youre the best customerservice,1
4819,__label__POSITIVE SouthwestAir me again I was just trying to rebook fare on wanna get away pricing and it disappeared in time I refreshed Is this normal,1
4820,__label__NEUTRAL SouthwestAir I know that not everybody on flight can be st time flying But in case it is people in front deplane st not from the back,0
4821,__label__NEUTRAL SouthwestAir may I have my Companion pass please,0
4822,__label__POSITIVE SouthwestAir kudos to the crew of flight  to GRR for making a very special memory for a sweet young passenger and her Momma Well done,1
4823,"__label__POSITIVE SouthwestAir thank you  UXZJ
Paid for early bird and sat in back",1
4824,__label__POSITIVE SouthwestAir All good beers and oscars ar DIA,1
4825,__label__NEUTRAL SouthwestAir yes please companionpass,0
4826,__label__NEUTRAL SouthwestAir flymidway  minute wait for my bags Just what I needed on a Sunday night,0
4827,__label__NEUTRAL SouthwestAir luv my companion pass,0
4828,__label__POSITIVE southwestair Winter Weather for Denver extended for tomorrow by chance Even to Late Flightr in the day would be super helpful,1
4829,__label__POSITIVE SouthwestAir its ok I was supposed to be in California hrs ago,1
4830,__label__NEUTRAL SouthwestAir I need to Cancelled Flight one leg of a flight but cant seem to do this online Been on hold on the phone for  minutes Any help,0
4831,__label__POSITIVE SouthwestAir Alist preferred DENDAL flight Cancelled Flightled  min prior to boarding Best option was Tue afternoon Seriously Epic fail,1
4832,__label__POSITIVE SouthwestAir Free TV watching Daytona  Boss httptcoSbGBNoUXy,1
4833,__label__POSITIVE SouthwestAir I understand But its consistent and been consistent for years Its known around the country,1
4834,__label__NEUTRAL SouthwestAir thank you,0
4835,__label__POSITIVE SouthwestAir been dealing with multiple offices for the last  days Youve completely lost me as a customer unless my bag is back to me,1
4836,__label__NEUTRAL SouthwestAir i got the call from RDU that my baggage is there except that doesnt help me bc i cant get it until Im flying back home,0
4837,__label__NEUTRAL SouthwestAir how do I get a companion pass,0
4838,__label__NEUTRAL SouthwestAir especially if its your mom IChangedYourDiaper,0
4839,__label__NEUTRAL SouthwestAir MegElizabeth how you like the redcarpet treatment,0
4840,__label__POSITIVE SouthwestAir For example cant pay  hotel amp food Or transport to alternate city we are flying from Or give clear record of alt flight,1
4841,__label__NEGATIVE SouthwestAir Im flying out of CUN tomorrow To DEN  can I change my flight due to the travel advisory,-1
4842,__label__POSITIVE SouthwestAir Tough I can take Zero meaningful assistance while stranded for  days is another matter Looking for signs you care abt cust,1
4843,__label__NEGATIVE SouthwestAir Dont apologize Do something about it Words mean nothing Actions work EOM,-1
4844,__label__NEGATIVE SouthwestAir after an hour and a half then it came back damaged Not happy perseveringface,-1
4845,__label__NEGATIVE SouthwestAir how long does it take for my Rapid Rewards points to be credited to my account,-1
4846,__label__NEUTRAL SouthwestAir why does the customer service have rather inconsistent information,0
4847,__label__POSITIVE SouthwestAir were pulling off the runway now Making new friends with seat mates Thanks for the response CB,1
4848,__label__NEGATIVE SouthwestAir but to make us tru to find space in other flights  This customer service is as bad as SpiritAirlines,-1
4849,__label__NEGATIVE SouthwestAir no delay I pay  for BS A ticket You boarded flight early Im last to board Now have middle seat Wasted ,-1
4850,__label__POSITIVE SouthwestAir first you had a good idea thatthis would happen and did not Cancelled Flight it earlier then very amateurish that there was no plan,1
4851,__label__NEGATIVE SouthwestAir very disappointed in your handling of tonights Cancelled Flighted Dallas flight  Not that it was Cancelled Flighted but no contingencies,-1
4852,__label__POSITIVE SouthwestAir its ok Southwest is still the best airline around Just hate when baggage room runs out My now checked bag has headphones,1
4853,__label__POSITIVE SouthwestAir please start flying to Huntsville so I never have to fly American Airlines again,1
4854,__label__NEUTRAL SouthwestAir Flight  NSW arrives at FlyTPA following flight from MitchellAirport httptcoLJYdKoRq,0
4855,__label__POSITIVE SouthwestAir no you are not you just care about mighty dollar,1
4856,__label__NEUTRAL SouthwestAir I have a child traveling cross countryshes  will be turning  in marchand cont httptcoEnhkeUUTd,0
4857,__label__NEUTRAL SouthwestAir  how do you get one,0
4858,__label__NEUTRAL SouthwestAir retiring with my hubby and its our th wedding anniversary this year Companion pass please,0
4859,__label__POSITIVE SouthwestAir beautiful view flying into San Jose CA this evening httptcoSxVaGbRTlI,1
4860,__label__POSITIVE SouthwestAir Thank you SWA and Shannon G LASairport C for being a miracle worker awesome,1
4861,__label__NEUTRAL But expect no help from gtSouthwestAir lt  Our flt was canx at the last minute for weather  We flew home on weatherless united,0
4862,__label__POSITIVE SouthwestAir want go from New Orleans houston see my dad at md anderson can you help me out,1
4863,__label__NEUTRAL SouthwestAir yes please,0
4864,__label__POSITIVE SouthwestAir I changed my flight through St Louis Thanks for the reply though,1
4865,__label__POSITIVE SouthwestAir flying by myself is getting old,1
4866,__label__POSITIVE SouthwestAir really shouldnt offer sweeps if your link isnt going to work B httptconOfGTQHYN,1
4867,__label__POSITIVE SouthwestAir Have had a companion pass for a few years and my wife and I use it all the time  Thanks southwest for making travel easy,1
4868,__label__NEUTRAL SouthwestAir Why can we no longer change trips with a companion online Been doing it for years now get message cant be done online,0
4869,__label__NEGATIVE SouthwestAir WIFI is so slow it totally precludes working on the web Will NOT book SWA for business travel Wish I hadnt lit  on fire,-1
4870,__label__NEUTRAL SouthwestAir yes pleasemy son lives in NJ,0
4871,__label__NEUTRAL SouthwestAir companion pass please,0
4872,__label__POSITIVE SouthwestAir constantly providing wonderful views and service SouthwestLuv httptcoUNxqOTzIK,1
4873,__label__POSITIVE SouthwestAir everyone deserves red carpet tx until they destroy your luggage amponly give you  voucher like I want to fly wthem again,1
4874,__label__NEGATIVE SouthwestAir staff was overall awful through multiple airports would have switched airlines if another flight was available,-1
4875,__label__POSITIVE SouthwestAir lol I already am  I am a card member as well too lol i enjoy flying with you Guys,1
4876,__label__POSITIVE SouthwestAir  th Anniversary on April th Still Sweethearts  Companions  Lifetime  Sons  Families Love,1
4877,__label__NEUTRAL SouthwestAir Well we all need something to aim for,0
4878,__label__NEUTRAL SouthwestAir YES pleaseHow do we get that companion pass,0
4879,__label__POSITIVE southwestair on flight  and I paid  for wifi that cant load a website functionally except for your own live streaming Unacceptable,1
4880,__label__NEUTRAL SouthwestAir gimme,0
4881,__label__NEUTRAL SouthwestAir flights still going to DAL,0
4882,__label__NEGATIVE SouthwestAir Youve inspired me to start my own airline to combat your weak ass airline sick of this shit,-1
4883,__label__NEUTRAL SouthwestAir is service to Aruba being permanently discontinued in August,0
4884,__label__NEUTRAL SouthwestAir yes please,0
4885,__label__NEGATIVE SouthwestAir I miss mine terribly A  for my th anniversary would be amazing It would mean LUV is in the air dontmakemebeg,-1
4886,__label__POSITIVE SouthwestAir I heart my CP status Sure would be nice to have though,1
4887,__label__POSITIVE SouthwestAir RedCarpet Southwest Companion Pass would be great,1
4888,__label__POSITIVE SouthwestAir I would love a great deal from bwi to las Memorial Day weekend aka my bday weekend grimacingface,1
4889,__label__NEUTRAL SouthwestAir I want one,0
4890,__label__NEUTRAL SouthwestAir everyones flights who were Cancelled Flightled today DESERVE ,0
4891,__label__NEUTRAL “SouthwestAir Companion Pass Because everyone deserves RedCarpet treatment and a  even if its your mom httptcoQjKLaBprG”,0
4892,__label__NEUTRAL SouthwestAir sign me up,0
4893,__label__POSITIVE SouthwestAir I would love a  RedCarpet  treatment,1
4894,__label__NEUTRAL SouthwestAir how do I get my companion pass,0
4895,__label__POSITIVE SouthwestAir Tell me the secrets to flying high RedCarpet,1
4896,__label__NEUTRAL SouthwestAir That would be brighter than all the stars combined on the red carpet tonight,0
4897,__label__NEUTRAL SouthwestAir How about auto check in for CP holders Come on,0
4898,__label__NEUTRAL SouthwestAir got mine  Just in time for the wife and my th anniversary,0
4899,__label__POSITIVE SouthwestAir I love my Companion Pass qualified th year  HollyMais,1
4900,__label__NEUTRAL SouthwestAir where is mines,0
4901,__label__POSITIVE SouthwestAir I continue to be amazed by the amazing customer service  Thank you SWA,1
4902,__label__NEUTRAL SouthwestAir and how does one obtain this companion pass,0
4903,__label__NEUTRAL SouthwestAir Yes please,0
4904,__label__NEUTRAL SouthwestAir httpstcoOQUKSosO subscribe please httpstcoOQUKSosO,0
4905,__label__NEUTRAL SouthwestAir sign me up,0
4906,__label__NEUTRAL SouthwestAir just got minenow where to go,0
4907,__label__NEGATIVE SouthwestAir wifi is the worst  investment I have ever made,-1
4908,__label__NEUTRAL SouthwestAir Can I get any help with Cancelled Flighting my flight reservation,0
4909,__label__NEGATIVE SouthwestAir sitting in Newark because flight  was Cancelled Flightled for no apparent reason  All I was told was sorry after  hrs waiting,-1
4910,__label__NEUTRAL SouthwestAir I have followed you Awaiting your DM,0
4911,__label__NEUTRAL SouthwestAir U dont have Atlanta to San fransisco in  in the present sale like u had in the last saleIm looking for  return tickets,0
4912,__label__POSITIVE SouthwestAir couldnt be bothered to help with my lost my luggage Not a single helpful employee owner to be found in BWI,1
4913,__label__NEGATIVE SouthwestAir Seriously FOUR DELAYS Only takes  minutes to get to Vegas from flyLAXairport amp I have a connecting flight ridiculous,-1
4914,__label__NEGATIVE SouthwestAir should get their shit together before they owe my  for my bag,-1
4915,__label__NEUTRAL SouthwestAir I requested my boarding pass to be texted to me but I still havent received it,0
4916,__label__POSITIVE SouthwestAir I gave you one more try Figured you could get a  hr flight right Nope Delayed an hr Seems to be every time,1
4917,__label__NEUTRAL SouthwestAir Im gonna ignore the fasten seatbelt sign and I want to see if ur man enough to do anything about it,0
4918,__label__POSITIVE SouthwestAir Im a huge fan and give yall too much businessso please fix the damn wifi,1
4919,__label__NEUTRAL SouthwestAir got it  Next time I will know about paying extra to make the A Line,0
4920,__label__NEGATIVE SouthwestAir  we understand air delays which are out of your control terrible telephone support apps and online access that do not work,-1
4921,__label__NEUTRAL SouthwestAir Flying South by Southwest from SJC to SNA tiday httptcoKJKuVJCMo,0
4922,__label__POSITIVE SouthwestAir thanks connection thru Nashville have A boarding pass get to Dallas gate boarding  min before flt get end of B group,1
4923,__label__NEGATIVE SouthwestAir Weather keeps slowing us down Not your fault This is the st time a Southwest flight of mine was Late Flight so I cant complain ,-1
4924,__label__POSITIVE SouthwestAir Thanks,1
4925,__label__POSITIVE SouthwestAir still planing on flights into Dal We are trying to fly in tomorrow from lax,1
4926,__label__POSITIVE SouthwestAir now I cant board thanks You guys moved me to standby Ive been holding this boarding pass since pm yesterday,1
4927,__label__POSITIVE SouthwestAir has a beautiful fleet What a perfect evening to fly httptcoXMZTfIx,1
4928,__label__POSITIVE SouthwestAir Leave BUR ten minutes Late Flight and arrive in SJC a minute before we were supposed to Impressed gettingbetter thumbsup,1
4929,__label__NEUTRAL SouthwestAir My GF lost the promise ring I gave her on flight   SFOgtSNA Its an infinity silver band ring Please help,0
4930,__label__NEUTRAL SouthwestAir Two delayed flights in a row Neither one of them explained,0
4931,__label__NEUTRAL SouthwestAir been sleeping on the floor like Im homeless and now delayed flights because the equipment isnt working I have a job to get,0
4932,__label__NEGATIVE SouthwestAir you guys should stop doing service in Denver its horrible I get stuck here every time Ive been here almost hrs,-1
4933,__label__POSITIVE SouthwestAir Thanks  Only a minor delay so not a big deal Appreciate the concern though Boarding now You do have amazing service,1
4934,__label__POSITIVE SouthwestAir Traveling with a  year old Thursday He does not need an ID correct,1
4935,__label__POSITIVE SouthwestAir Hows Dallas incoming looking Im scheduled to fly in at  and wondering if Ill be stuck in St Louis instead,1
4936,__label__NEGATIVE SouthwestAir Had a very unpleasant experience over the phone with one of your agents re a Cancelled Flightled flight I have the name amp agent ID,-1
4937,__label__NEUTRAL SouthwestAir your wifi is angering me with its slowness,0
4938,__label__NEUTRAL SouthwestAir thank you,0
4939,__label__NEGATIVE SouthwestAir weve been at the gate a long time Were gonna miss our connection at MDW Ack httptcoqRXvZFrDZ,-1
4940,__label__NEUTRAL SouthwestAir I tweeted several times last week about flight info during storm always a timely tweet back  Thx grinningfacewithsmilingeyes,0
4941,__label__NEGATIVE SouthwestAir Sort of but Im arriving a day Late Flight and have to incur overnight costs in a connecting city Not cool at all,-1
4942,__label__NEGATIVE SouthwestAir promised  rooms until Wednesday wentook and the hotel charged us  per room because we had a pink paper needed white,-1
4943,__label__NEUTRAL SouthwestAir just sent it,0
4944,__label__NEUTRAL SouthwestAir if you have a rules you should probably apply them all the times not just sometimes shouldhaveflownjetblue,0
4945,__label__POSITIVE SouthwestAir your hold music sounds like its from Super Mario Bros for gameboy color,1
4946,__label__NEUTRAL SouthwestAir props to your LAS employees working C gate Because of them I am not opposed to flying through or to LAS in the future clappinghandsclappinghands,0
4947,__label__NEGATIVE SouthwestAir baggage delivery at BWI very delayed and unnecessarily chaotic Disappointing after a long trip From a frequent traveler,-1
4948,__label__NEGATIVE SouthwestAir most other carriers were flying out way past SW Cancelled Flightlation AlaskaAir and JetBlue got their passengers out much Late Flightr,-1
4949,__label__NEGATIVE SouthwestAir extremely frustrating travel experience in Denver Instead of landing in SEA on Saturday now its Monday afternoon,-1
4950,__label__NEGATIVE SouthwestAir I will be calling someone on Monday in customer relations Very disappointed in how I was treated by customer service,-1
4951,__label__NEGATIVE SouthwestAir your complimentary hotel vouchers are BS  a night for the crappiest hotel ever I wouldnt wish this on my worst enemy,-1
4952,__label__NEGATIVE SouthwestAir worst air line ever you have no compassion of the handicapped,-1
4953,__label__POSITIVE SouthwestAir when are the two free flights promo coming back Looking into the premiere card but might hold off or go with another option,1
4954,__label__NEGATIVE SouthwestAir you are a bunch of liars Cancelled Flightled our flight and rebooked us four days Late Flightr,-1
4955,__label__NEUTRAL SouthwestAir done,0
4956,__label__NEUTRAL SouthwestAir currently rebooked thru Dallas but I hear they are expecting an ice storm sigh strandedNYC,0
4957,__label__POSITIVE SouthwestAir check out our st graders school science fair project She loves flying on Southwest Airlines httptcoBaYePZkMiz,1
4958,__label__NEUTRAL SouthwestAir ohk Thank You BC of the inexpensive airfares that Southwest has I can now travel around,0
4959,__label__NEGATIVE SouthwestAir my golf bag was broken on the flight I just took Whats the process for damage reimbursement,-1
4960,__label__POSITIVE SouthwestAir ridiculous how you want to charge me  to change flights even with multiple seats available on the flight I needed,1
4961,__label__NEGATIVE SouthwestAir  Mad love httptcoojrSDWPkK NYC,-1
4962,__label__NEGATIVE SouthwestAir  thanks for Cancelled Flighting our flight to BOS Were stranded in DEN til Wed night The  of us will never fly southwest again,-1
4963,__label__POSITIVE SouthwestAir I was trying to find airfare for my family  Your prices are ridiculous  Almost  more than USAirways notmadeofmoney,1
4964,__label__NEUTRAL SouthwestAir My Fav,0
4965,__label__NEUTRAL SouthwestAir our flight is delayed till tomorrow curse the weather,0
4966,__label__POSITIVE SouthwestAir now Im so lucky for my forced good deed I get to be smashed between  huge ppl in the exit row Thank God Im tiny facewithtearsofjoypersontippinghand,1
4967,__label__NEUTRAL SouthwestAir  Wish you allowed httptcopDNtGBXC to access you site for awards tracking,0
4968,__label__NEUTRAL SouthwestAir  just got it back about  mins ago Went about  hrs wo it but I appreciate the support  voucher   for essentials,0
4969,__label__NEUTRAL SouthwestAir TheAcademy party in hotlanta httptcoxZQssJtRB,0
4970,__label__NEGATIVE SouthwestAir BTW I was completely unable to buy wifi for my flight using Galaxy S Couldnt zoom out or scroll to touch Buy,-1
4971,__label__NEUTRAL SouthwestAir is having a party in the atl terminal letitgo httptcoqxTeqZmyz,0
4972,__label__POSITIVE SouthwestAir  I heard a rumor flight  was Cancelled Flightled  Is this true,1
4973,__label__NEUTRAL SouthwestAir is hosting an TheAcademy party in the terminal in Atlanta peanutsonaplatter,0
4974,__label__NEUTRAL SouthwestAir Just watched crew on flight  help elderly lady off planefirstclass,0
4975,__label__NEUTRAL SouthwestAir it was not  still dont know where skis are and cannot get a call back from bag svc at airport left several msgs,0
4976,__label__NEUTRAL SouthwestAir wifes flight to DAL just got Cancelled Flightled What does she do to find options to get back home   PHXgtDAL,0
4977,__label__POSITIVE SouthwestAir thanks for the response  flight time has passed  rebooked now,1
4978,__label__NEGATIVE lt lt RT SouthwestAir danihampton Sorry to hear about the WiFi connection Dani Please DM us your conf  so we can help you Thanks,-1
4979,__label__NEUTRAL SouthwestAir you guys rule I will DM you lt Thank you,0
4980,__label__POSITIVE SouthwestAir good to be back See you all again in several weeks,1
4981,__label__NEGATIVE SouthwestAir Boo  Dont be like the other airlines  httptcoWHAGPknnLF,-1
4982,__label__POSITIVE SouthwestAir stewardess really funny Now I could get the gent next to me to use some headphones this would be the perfect flight,1
4983,__label__NEUTRAL SouthwestAir FIND A WAY TO Cancelled Flight FLIGHT ,0
4984,__label__NEGATIVE SouthwestAir how can I check to see if my flight to NYC is expected to be delayed or Cancelled Flightled for this Tuesday,-1
4985,__label__NEUTRAL SouthwestAir thx for the note Flight was Cancelled Flightled and today is all booked so had to go with another carrier ,0
4986,__label__NEUTRAL SouthwestAir could I get a phone call from a customer service rep to get the issue resolved,0
4987,__label__POSITIVE SouthwestAir think you have great people working for you,1
4988,__label__NEUTRAL SouthwestAir Way to go flying out of Denver today Must be the only airline not Cancelled Flightingdelaying flights FlySWA denverairport,0
4989,__label__POSITIVE SouthwestAir heres a firstboth pilot and first officer in galley during flight,1
4990,__label__NEGATIVE SouthwestAir  any updates on flights getting Cancelled Flighted into DAL I have a connecting flight there and hope it doesnt delay due to weather,-1
4991,__label__NEUTRAL SouthwestAir Flight  got Cancelled Flightled  hrs before takeoff No Customer Service Been on hold for  minutes,0
4992,__label__NEUTRAL SouthwestAir my flight continues through to Vegas after my stop Dont be upset if a stowaway,0
4993,__label__NEGATIVE SouthwestAir waiting over a half hour for my checked baggage to be delivered No updates from any ground crew,-1
4994,__label__NEUTRAL SouthwestAir  Promotion email today Vegas and Jamaica has a defective link for the Vegas sweepstakesit times out with error,0
4995,__label__NEUTRAL SouthwestAir safety back in Dallas,0
4996,__label__POSITIVE SouthwestAir No like I said I could not reach anyone at your company so I had to rent a car and chalk the whole thing up to a loss,1
4997,__label__POSITIVE SouthwestAir you guys are so amazing for sending people to meet Imagine Dragons DestinationDragons facesavoringfood,1
4998,__label__POSITIVE SouthwestAir BTW not a weather delay Weve had beautiful weather in Sunny California nolove noexcuses cali httptcokumtbgER,1
4999,__label__NEGATIVE SouthwestAir As a frequent traveler Ive never been treated so coldly amp had an airline offer nothing when my flight was Cancelled Flightled nolove,-1
5000,__label__POSITIVE SouthwestAir  neveryamind I paid  for a flight  for a new bag is easy for business class customers right httptcovnJJIaO,1
5001,__label__NEGATIVE SouthwestAir  our baggage motto we dont cover that Small tear ripped seam snow soaked busted zippers  SORRY httptcoLHwFBKFynI,-1
5002,__label__NEUTRAL SouthwestAir Totally ruined my birthday weekend by Cancelled Flighting my flights for no reason and offer no points drink transport nolove cali,0
5003,__label__NEUTRAL SouthwestAir Whats happened to your customer service  Cancelled Flightled flights in  days amp an uninformed and unapologetic staff nolove cali,0
5004,__label__NEUTRAL SouthwestAir check the head of the plane there has been dynamite placed onto it,0
5005,__label__NEGATIVE SouthwestAir Maybe if you comped those that quietly accepted delays or Cancelled Flightations instead of the irate youd have less issues justsaying,-1
5006,__label__POSITIVE SouthwestAir For the past  yrs I earned Alist status thru a promofly  rnd trips in  months How can I get that option again loyal,1
5007,__label__NEGATIVE SouthwestAir we didnt nothing was ruined just wet Just frustrating when after traveling for  hours you cant change into clean clothes,-1
5008,__label__NEGATIVE SouthwestAir yeah it happens The PHX airport has extra long waits all spring long Something locals know but tourist dont just FYI,-1
5009,__label__NEGATIVE SouthwestAir I tried for hrs to contact SW Twitter fb phone email w no reply hrs Late Flightr u respond what could you do at this point,-1
5010,__label__NEUTRAL SouthwestAir Arkansas Gov plans to sign Governor SB that legalizes discrimination of LGBTCan you lend your voice to a state boycott,0
5011,__label__NEGATIVE SouthwestAir if I am a rapid awards member does my points apply after I have taken my round trip,-1
5012,"__label__POSITIVE SouthwestAir was in a line a mile long at sky harbor this morning Your staff was courteous and expeditious  Thank you 
onechildfourbags",1
5013,__label__NEGATIVE SouthwestAir I have never had such awful customer service and conflicting service Outrageous,-1
5014,"__label__POSITIVE SouthwestAir 

Just realized I had the wrong departure date Thanks for making changes easy",1
5015,__label__NEGATIVE SouthwestAir Also will Southwest have any other specials like the one they are running now,-1
5016,__label__POSITIVE SouthwestAir last week I flew from DAL to LAX You got us in almost an hour early Thank You,1
5017,__label__POSITIVE SouthwestAir will the Daytona  be available on free TV,1
5018,__label__POSITIVE SouthwestAir flying flight  tonight at  from PBI I have boarding position C Is it overbooked Really dont want to be bumped,1
5019,__label__NEGATIVE SouthwestAir no I wasnt After over an hour was too frustrated and had to hang up,-1
5020,__label__NEGATIVE SouthwestAir Thanks for the terrible service Stranded in MDW for  days amp now cant find confirmation for rebooked flight from MKE,-1
5021,__label__POSITIVE SouthwestAir fyi the link in your baggage incident email redirects to a  on mobile The link auto changes on mobile Desktop works fine,1
5022,__label__POSITIVE SouthwestAir I will say that your customer service has consistently been the very best,1
5023,__label__POSITIVE SouthwestAir AARP tfw Appreciate the tweet back  It was unexpected,1
5024,__label__POSITIVE SouthwestAir need to Cancelled Flight a few more can you please check DM,1
5025,__label__POSITIVE SouthwestAir AARP JimCramer yo mom says Hire more staff to accommodate your audience You could learn lots from her Shes off to FL,1
5026,__label__POSITIVE SouthwestAir Although the wait was long due to weather rscheduling a phone call and super rep solved the issue Thank you,1
5027,__label__NEUTRAL SouthwestAir when are you starting routes to Hawaii and Canada,0
5028,__label__NEUTRAL SouthwestAir flying flight  tonight at  from PBI I have boarding position C Is flight overbooked Have funeral to attend,0
5029,__label__NEGATIVE SouthwestAir I was never able to talk so someone so had to buy another new ticket Will be calling shortly for refund,-1
5030,__label__POSITIVE SouthwestAir tfw JimCramer AARP TYSpent total of  hrs and  mins holding Cell battery died Finally made arrangements w kind Rep,1
5031,__label__POSITIVE SouthwestAir AmericanAir yall are better then united,1
5032,__label__NEGATIVE SouthwestAir no after  mins of hold I finally hung up Ridiculous wait times Can you assist in Cancelled Flighting reservation,-1
5033,__label__POSITIVE SouthwestAir Make the world a better place Visit an elderly relative,1
5034,__label__POSITIVE SouthwestAir What is the best credit card to useopen to get miles with yall,1
5035,__label__NEUTRAL SouthwestAir some woman gets on plane and holds  seats in the bulkhead for her friends with C boarding passes I paid  earlybird thx,0
5036,__label__NEUTRAL SouthwestAir grouchy about this flight  complimentarybeveragesneeded,0
5037,__label__NEGATIVE SouthwestAir plane switch on  meant A back of plane disappointed,-1
5038,__label__NEGATIVE SouthwestAir you have let me down oversold earlybirdmeansnothing,-1
5039,__label__POSITIVE SouthwestAir while you clearly didnt care about our troubles yday thought Id share bags took gtmin and came back absolutely drenched,1
5040,__label__POSITIVE SouthwestAir can you follow for quick DM,1
5041,__label__NEUTRAL SouthwestAir can you help,0
5042,__label__NEUTRAL SouthwestAir looks like you are up and running for the day Still cant get through on the phone Can you follow so I can dm you my info,0
5043,__label__NEGATIVE SouthwestAir CustomerServiceFail   almost missed flight  long slow BWI ticket line Rather make a complaint or your flight,-1
5044,__label__POSITIVE SouthwestAir I start a new job tomorrow amp you Cancelled Flight my flight  BWILAX and you really cant get me on another flight today ,1
5045,__label__NEUTRAL SouthwestAir no HUMAN contact for  mths from AmericanAir cust relations or refund dept If ever a problem do u have humans I can talk to,0
5046,__label__NEUTRAL SouthwestAir CEO using Vegas band to help ‘connect’ to people httptcogKYufQh  aviation business marketing consumermarketing,0
5047,__label__NEUTRAL SouthwestAir i forgot to put my tsa pre number in before I checked in It is now in my profile but will it be on my boarding pass in the am,0
5048,__label__NEUTRAL SouthwestAir you have open seats on flight  pvd to MCO  pm today,0
5049,__label__POSITIVE SouthwestAir you cxed almost the entire east coast flights All other planes are taking off any traveling fine I need to get to Nev ASAP,1
5050,__label__NEUTRAL SouthwestAir  hours on hold for customer service never us SW again,0
5051,__label__NEUTRAL SouthwestAir FINALLY  A Passbook option for the SWA App Thank you,0
5052,__label__NEGATIVE SouthwestAir my sisterampbrother in law need to get to Florida desperately flying w USAirways is there anything you can do,-1
