,Label
94,__label__NEUTRAL CloverMoore Amen to that  and I would add afterpublic transport needs  including the public transport needs o… httpstcofNnkYCwMal
61,"__label__NEGATIVE MadCityJess barrybender UNSW monaeltahawy UNSWCentreIdeas Carriageworks Why are you disgusted
And why do y… httpstcoLvuXVWk"
81,__label__NEUTRAL Nov  Macquarie AncientHistMQ  SSEC Christmas meeting Dr Gareth Wearne ACU Hanukkah at Qumran And Book Lau… httpstcoWfoZkCe
9,__label__NEUTRAL SportsCenter SCNotTop D Landmark conference womens volleyball Semifinals Susquehanna University vs Universi… httpstcojWqSQXANxm
17,__label__POSITIVE A great week of technical presentations including the technicians at University of Queensland training in vacuum te… httpstcoOLQdPIgCQ
59,__label__NEUTRAL Staff at Macquarie University are calling for an explanation for the dissolution of the Faculty of Human Sciences… httpstcotyrVbnYZr
16,__label__POSITIVE For more information on this excavation visit httpstcoxQsMVlBoY AncientHistMQ MacquarieUni archaeology
79,__label__NEUTRAL Why hasn’t that Professor from Macquarie University gotten back to me when I told him I was a tankie
95,__label__POSITIVE TONIGHT MonaEltahawy and RezaAslan will be speaking as part of UNTHINKABLE – a series of live talks presented by… httpstcorwxiRDJRZ
5,__label__POSITIVE Final day of UNTHINKABLE Excited to hear from thischairrocks mscarobaum monaeltahawy tressiemcphd… httpstconruCJXkoU
44,__label__POSITIVE UNSW monaeltahawy UNSWCentreIdeas clementineford But much safer to say so in a western patriarchy than a middle eastern patriarchy
69,__label__POSITIVE UNAANational Western Sydney University has signed the UN Sustainable Development Solutions Network Higher Educati… httpstcoqJeNftOt
15,__label__NEGATIVE Labor left must actively disrupt partys bipartisan consensus amp policy subservience on INSERT NAME OF ISSUE HERE… httpstcopeyRWElX
28,__label__POSITIVE The FIRSTregistered Robotics Scholarship is currently available to highachieving international students who apply for an un… httpstcorYldcfLox
55,__label__NEUTRAL aleksandarplatz UNSW rezaaslan UNSWCentreIdeas bairdjulia If it can’t then why should it 
41,__label__NEGATIVE UNSW monaeltahawy UNSWCentreIdeas clementineford No modern feminism is
62,__label__NEUTRAL Congratulations to Macquarie University Hospitals Associate Professor Munjed Al Muderis orthopaedic surgeon huma… httpstcoNHJkuVSa
60,__label__POSITIVE NEW REPORT The unprecedented and rapid explosion in social media use in Myanmar has left many young people vulner… httpstcoHjQdCwZ
47,__label__POSITIVE We are also particularly excited that our very own Prof Marian Baird a global gender influencer from University o… httpstcocIkydiRMS
56,__label__POSITIVE The Research Centre for Children and Families at the university of Sydney Camperdown has a fixed term  year full… httpstcorOzwwJlgp
76,__label__NEUTRAL Macquarie university announced it would dissolve the Faculty of Human Sciences with its subjects  cognitive scie… httpstcoFTsbzyjWR
19,"__label__POSITIVE Likely to bat on UNSWCricket need more against sutherlanddcc

While FairfieldLions have to start a second tim… httpstcooNmBVHTJ"
26,__label__NEUTRAL A highprofile obstetrician and gynaecologist who is also a professor with the University of Sydney made remarks t… httpstcoFJXJtJOz
8,__label__NEGATIVE “ Hans Peter Dietz an internationally renowned pelvic floor expert has been the subject of numerous complaints… httpstcoUfeJVFfLJ
40,__label__POSITIVE Do You Have a Digital Twin Greetings from the Spatial Futures Forum  on Intelligent Cities and Transport at the Un… httpstcouWWFGGegwa
11,__label__NEUTRAL Professor of Gender and Employment Relations at Sydney University ProfMarianBaird let us know about the importance… httpstcoXWsiDhIS
5,__label__NEUTRAL Macquarie University in Australia is currently accepting applications for the VCIS  Global Allianz Fund for both u… httpstcoHcATNoBlUt
44,__label__NEUTRAL Creatine can help improve memory and intelligence along with muscle endurance according to an Australian study from the University of Sydney
15,__label__POSITIVE Please sign and share this important petition httpstcohCvvzNeqN via MegaphoneAU
6,"__label__NEGATIVE Five PhD student positions in the PERSWADE Center
at the University of Technology Sydney Australia Apply by  D… httpstcorldiTdMYV"
14,__label__POSITIVE UTSStartups MacquarieUni The highlight of completing the Guo Social program at Macquarie University yesterday fo… httpstcoCCrXcX
22,__label__POSITIVE Had a great trip to Wollongong for the third UOW MRI workshop with zoeyisherwood YannChye and the other lovely Un… httpstcoFyHyVLR
29,__label__NEUTRAL The projectsusyd project management program academic team for the University of Sydney before the graduation cer… httpstcoGtWboCBQzw
36,__label__POSITIVE Having a fantastic time at CyBSA thenetworkeffect representing Macquarie University macquarieuniversity httpstcodXERrbc
65,__label__NEUTRAL Applications are invited from Indian students to study in Australia from Macquarie University… httpstcoAJwDfdNvAr
63,__label__NEUTRAL If you’re the type of person to believe  those elitist academics at Macquarie University in Australia then this st… httpstcoNZcJtBK
7,__label__POSITIVE TIL about Ruth Gall the first woman Associate Professor in Chemistry and Head of School for Chemistry at the Unive… httpstcorDGIpnFo
77,"__label__NEGATIVE “Patriarchy in my opinion is the most dangerous ideology in the world”

monaeltahawy UNSWideas httpstcoOZeIOZPT"
90,__label__NEUTRAL “A broader set of indicators should be monitored including human population growth meat consumption treecover… httpstcolDlnMPuhX
3,__label__POSITIVE The University of Sydney is perhaps Australia’s most prestigious university Yet it put a temporary block on Jetsu… httpstcoXiYpjMpeU
38,__label__NEUTRAL itxaameer UNSW rezaaslan UNSWCentreIdeas bairdjulia Think about it
81,__label__POSITIVE SallyBaker is that your name I see among these successful projects Well done UNSWArts GonskiInstitute UNSWED httpstcolwsxuzncD
62,__label__POSITIVE DrGregGoins nytimes williamdoylenyc Sure its been hectic Send me a note to my UNSW email namesurnameathttpstcoBqiUPJb
66,__label__POSITIVE If youre a student in faculty of human science of MQ please sign this petition This will significantly impact o… httpstcoyjEnzVGBz
85,__label__NEUTRAL Looking forward to the bennelongcup tabletennispingpong schoolschallenge at macquarieuniversity sportscentre on Monda… httpstcoZxqZpySD
88,"__label__POSITIVE World scientists declare climate emergency

To quote a Facebook friend of mine Yawn

More than  scientists… httpstcoCnVnWeSPfv"
92,"__label__POSITIVE Macquarie first university to announce staff freeze due to zero student growth in 
How realistic will universi… httpstcolElJudgqr"
11,__label__POSITIVE Such wonderful staff at Macquarie University Hospital amp Clincial Services great to hear from some today at our mon… httpstcoAMJZMsplu
51,__label__NEUTRAL JackyNinjakitty Would you condider reading this from SimonChapman Emeritus Professor in Public Health at the Un… httpstcoIiTIdLclUT
80,__label__NEUTRAL A University of Sydney study used reins containing embedded loadcells to measure the rein tension employed when co… httpstcofdzjVtard
83,__label__NEUTRAL The University of Sydney is the oldest university in Australia It is one of the premier academic halls in the Sout… httpstcooNNbdqbLr
51,__label__POSITIVE UNSW monaeltahawy UNSWCentreIdeas clementineford Abd definitely most widespread
82,__label__NEUTRAL A conversation with carlatreloar from UNSW talking about the applicability of qualitative research bridging appl… httpstcohmrKmlfqB
61,__label__POSITIVE It was so lovely getting to revisit my PhD fieldwork in South India for a guest lecture at Macquarie University Al… httpstcolHJJfKKVS
8,__label__POSITIVE ScottEacott UNSWArts GonskiInstitute UNSWED Indeed the one amp only winkingface Thanks to NCSEHE for funding this My ac… httpstcohgbtspttx
36,__label__NEUTRAL fAiDaRaveE UNSW Sydney ค่ะ
48,__label__NEUTRAL UNSW monaeltahawy UNSWCentreIdeas clementineford Either the patriarchy evolved from primal mammalian order ba… httpstcoEWnowVwHC
86,__label__POSITIVE Great pleasure GordonGWallace Wonderful meet the researchers and see the amazing setup I can see some synergistic… httpstcoxTbEiRVtiv
93,__label__NEGATIVE johnnyboy See my comment  it is entirely the Macquarie Universitys fault for making wrong assumptions when… httpstcoDdHodQeku
93,__label__POSITIVE Love this choose your own internship adventure from UTS Careers University of Technology Sydney Biomed Sci amp Biote… httpstcohRGDzdhx
4,__label__NEUTRAL Martin Raffaele in using a combination of the research he has conducted at The University of Sydney and personal ex… httpstcoVSKkWSv
33,__label__NEUTRAL Save the date for The Howard Librarys final Howard Government Retrospective conference  November  at th… httpstcolyeHWiRNLl
83,"__label__NEUTRAL The seven necessary sins for girls and women  Mona Eltahawy 
UNSW Centreforideas httpstcorPnRwKxw"
26,__label__POSITIVE UNSW monaeltahawy UNSWCentreIdeas clementineford Lol You cannot make this shit up UNSW proving to all emplo… httpstcoQHsPoXe
32,"__label__NEUTRAL Macquarie University July 

httpstcoGdQAbL httpstcoiymObKZu"
69,"__label__NEUTRAL Celebrate Macquarie Universitys excellence in research and teaching at our Academic Staff Awards Ceremony 

Regis… httpstcoOGrIAdV"
10,__label__NEUTRAL questionsfaith wpcguy imkimaaron Rev mikecannytalk AStout DAccampoFamily Lalanamour BillSmithers… httpstcoBkWbEKUOlZ
70,__label__POSITIVE aliceleung Hi Alice I now coordinate the one at University of Sydney  happy to answer questions
64,__label__NEUTRAL Educators like DrKellermann are continuously leveraging technology tools not to reinvent but to redefine learning… httpstcoBIPDPZqX
51,__label__POSITIVE UniGuideNP Macquarie University Nepal Open Day  Register Here Free httpstcoNzXCRWWYdv
20,__label__NEGATIVE Despite heavy investment in startups the University of Sydney Business School has found the uptake of tech is lack… httpstcoQGqzvyDfEb
8,__label__NEUTRAL AFIN Risk Management and Derivatives Assignment Help and Solution Macquarie University  Assessment Writing Ser… httpstcoqdOtudiTv
39,__label__NEUTRAL DrWaldo SirRoby heavyg Tacticalreview DerekEBoucher Nunyabus Gofundyourself SurvivorKitty… httpstcoFtoeRJX
71,__label__NEUTRAL Come and hear from our panelists about their ageing journey exploring experiences of being transgender HIV homel… httpstcoSZloToDN
0,__label__POSITIVE Please sign and share this important petition httpstcoZfQkzfiP via MegaphoneAU
66,__label__NEUTRAL EndangeredFactz Because I am a student of the university of Sydneyand we need to write a news feature I will wri… httpstcoxOzAFwPONO
